"ESTADO";"$";"ABRE_C";"ABRE_P";"ATRIB";"DIFERENTE";"DIV";"ECHO";"ELSE";"FECHA_C";"FECHA_P";"FLOATVAL";"FUNCTION";"IDENT";"IF";"IGUAL";"MAIOR";"MAIOR_IGUAL";"MENOR";"MENOR_IGUAL";"MULT";"NUMERO_REAL";"PHP_CLOSE";"PHP_EOL;";"PHP_OPEN";"PONTO";"PV";"SOMA";"SUB";"VAR";"VIRG";"WHILE"
"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s2";"";"";"";"";"";"";""
"1";"acc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"";"";"";"";"";"";"";"";"";"";"";"s10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s7";"";""
"3";"";"";"";"";"";"";"s24";"";"";"";"";"";"";"s25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s27";"";"s26"
"4";"";"";"";"";"";"";"";"";"";"";"";"s10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s7";"";""
"5";"";"";"";"";"";"";"r4";"";"";"";"";"";"";"r4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r4";"";"r4"
"6";"";"";"";"";"";"";"r6";"";"";"";"";"";"";"r6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r6";"";"r6"
"7";"";"";"";"s8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s9";"";"";"";"";""
"8";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"9";"";"";"";"";"";"";"r10";"";"";"";"";"r10";"";"r10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r10";"";"r10"
"10";"";"";"";"";"";"";"";"";"";"";"";"";"s56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s13";"";""
"12";"";"";"";"";"";"";"";"";"";"s58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s14";""
"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s60";"";""
"15";"";"";"";"";"";"";"s24";"";"";"";"";"";"";"s25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s27";"";"s26"
"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s7";"";""
"17";"";"";"";"";"";"";"r20";"";"";"";"";"";"";"r20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r20";"";"r20"
"18";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"19";"";"";"";"";"";"";"";"";"";"s58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s21";""
"21";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"22";"";"";"";"";"";"";"s24";"";"";"";"";"";"";"s25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s27";"";"s26"
"23";"";"";"";"";"";"";"";"";"r23";"";"";"";"";"";"";"";"";"";"";"";"";"r23";"";"";"";"";"";"";"";"";""
"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s67";"";""
"25";"";"";"s68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"";"";"s69";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"";"";"s12";"s28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r30";"";"";"";"";""
"30";"";"";"";"";"s32";"";"";"";"";"";"";"";"";"";"s31";"s35";"s33";"s36";"s34";"";"";"";"";"";"";"";"";"";"";"";""
"31";"";"";"r34";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"r34";"r34";"";""
"32";"";"";"r34";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"r34";"r34";"";""
"33";"";"";"r34";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"r34";"r34";"";""
"34";"";"";"r34";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"r34";"r34";"";""
"35";"";"";"r34";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"";"";"";"r34";"";"";"";"";"";"";"r34";"r34";"";""
