"ESTADO";"<ARGUMENTOS>";"<ATRIBUICAO_OPCIONAL>";"<COMANDO>";"<COMANDOS>";"<CONDICAO>";"<CORPO>";"<CORPO_F>";"<DC>";"<DC_F>";"<DC_LOC>";"<DC_V>";"<EXPRESSAO>";"<FATOR>";"<LISTA_ARG>";"<LISTA_PAR>";"<MAIS_COMANDOS>";"<MAIS_DC>";"<MAIS_DCLOC>";"<MAIS_FATORES>";"<MAIS_IDENT>";"<MAIS_PAR>";"<OP_AD>";"<OP_MUL>";"<OP_UN>";"<OUTROS_TERMOS>";"<PARAMETROS>";"<PFALSA>";"<PROGRAMA>";"<RELACAO>";"<RESTOIDENT>";"<TERMO>"
"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";""
"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"";"";"";"";"";"51";"";"3";"5";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"";"";"22";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"";"";"";"";"";"";"";"6";"5";"";"4";"";"";"";"";"";"53";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"";"54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"";"";"";"";"";"";"";"";"";"";"";"55";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"57";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"59";"";"";"";"";"";"";"";"";"";""
"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"";"";"22";"61";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"";"";"";"";"";"";"";"";"";"17";"16";"";"";"";"";"";"";"62";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"63";"";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";"";""
"21";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
"22";"";"";"22";"23";"";"";"";"";"";"";"";"";"";"";"";"66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"";"";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";""
"28";"";"";"";"";"";"";"";"";"";"";"";"71";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
